,data,ratio,type
359,pcc,0.015503875968992248,random
360,pcc,0.0,random
361,pcc,0.0,random
362,pcc,0.0,random
363,pcc,0.0,random
364,pcc,0.0,random
365,pcc,0.0,random
366,pcc,0.007692307692307693,random
367,pcc,0.0,random
368,pcc,0.0,random
369,pcc,0.015503875968992248,random
370,pcc,0.0,random
371,pcc,0.0,random
372,pcc,0.0,random
373,pcc,0.0,random
374,pcc,0.0,random
375,pcc,0.0,random
376,pcc,0.0,random
377,pcc,0.0,random
378,pcc,0.007692307692307693,random
379,pcc,0.0,random
380,pcc,0.0,random
381,pcc,0.0,random
382,pcc,0.007692307692307693,random
383,pcc,0.0,random
384,pcc,0.0,random
385,pcc,0.007692307692307693,random
386,pcc,0.007692307692307693,random
387,pcc,0.0,random
388,pcc,0.0,random
389,pcc,0.007692307692307693,random
390,pcc,0.0,random
391,pcc,0.0,random
392,pcc,0.007692307692307693,random
393,pcc,0.0,random
394,pcc,0.0,random
395,pcc,0.007692307692307693,random
396,pcc,0.007692307692307693,random
397,pcc,0.0,random
398,pcc,0.0,random
399,pcc,0.0,random
400,pcc,0.0,random
401,pcc,0.0,random
402,pcc,0.0,random
403,pcc,0.0,random
404,pcc,0.007692307692307693,random
405,pcc,0.0,random
406,pcc,0.0,random
407,pcc,0.007692307692307693,random
408,pcc,0.0,random
409,pcc,0.007692307692307693,random
410,pcc,0.0,random
411,pcc,0.007692307692307693,random
412,pcc,0.0,random
413,pcc,0.0,random
414,pcc,0.0,random
415,pcc,0.0,random
416,pcc,0.0,random
417,pcc,0.0,random
418,pcc,0.0,random
419,pcc,0.0,random
420,pcc,0.007692307692307693,random
421,pcc,0.0,random
422,pcc,0.0,random
423,pcc,0.007692307692307693,random
424,pcc,0.007692307692307693,random
425,pcc,0.0,random
426,pcc,0.0,random
427,pcc,0.0,random
428,pcc,0.0,random
429,pcc,0.0,random
430,pcc,0.007692307692307693,random
431,pcc,0.0,random
432,pcc,0.0,random
433,pcc,0.007692307692307693,random
434,pcc,0.0,random
435,pcc,0.007692307692307693,random
436,pcc,0.0,random
437,pcc,0.0,random
438,pcc,0.0,random
439,pcc,0.0,random
440,pcc,0.0,random
441,pcc,0.0,random
442,pcc,0.0,random
443,pcc,0.015503875968992248,random
444,pcc,0.0,random
445,pcc,0.0,random
446,pcc,0.0,random
447,pcc,0.0,random
448,pcc,0.007692307692307693,random
449,pcc,0.0,random
450,pcc,0.007692307692307693,random
451,pcc,0.0,random
452,pcc,0.0,random
453,pcc,0.0,random
454,pcc,0.0,random
455,pcc,0.007692307692307693,random
456,pcc,0.0,random
457,pcc,0.0,random
458,pcc,0.007692307692307693,random
459,pcc,0.0,random
460,pcc,0.0,random
461,pcc,0.0,random
462,pcc,0.007692307692307693,random
463,pcc,0.0,random
464,pcc,0.0,random
465,pcc,0.015503875968992248,random
466,pcc,0.0,random
467,pcc,0.007692307692307693,random
468,pcc,0.007692307692307693,random
469,pcc,0.0,random
470,pcc,0.007692307692307693,random
471,pcc,0.007692307692307693,random
472,pcc,0.0,random
473,pcc,0.007692307692307693,random
474,pcc,0.0,random
475,pcc,0.0,random
476,pcc,0.0,random
477,pcc,0.0,random
478,pcc,0.0,random
479,pcc,0.015503875968992248,random
480,pcc,0.007692307692307693,random
481,pcc,0.0,random
482,pcc,0.0,random
483,pcc,0.0,random
484,pcc,0.0,random
485,pcc,0.0,random
486,pcc,0.007692307692307693,random
487,pcc,0.0,random
488,pcc,0.0,random
489,pcc,0.0,random
490,pcc,0.0,random
491,pcc,0.0,random
492,pcc,0.0,random
493,pcc,0.0,random
494,pcc,0.0,random
495,pcc,0.0,random
496,pcc,0.0,random
497,pcc,0.0,random
498,pcc,0.0,random
499,pcc,0.0,random
500,pcc,0.0,random
501,pcc,0.0,random
502,pcc,0.0,random
503,pcc,0.015503875968992248,random
504,pcc,0.0,random
505,pcc,0.0,random
506,pcc,0.0,random
507,pcc,0.0,random
508,pcc,0.0,random
509,pcc,0.007692307692307693,random
510,pcc,0.0,random
511,pcc,0.0,random
512,pcc,0.0,random
513,pcc,0.007692307692307693,random
514,pcc,0.007692307692307693,random
515,pcc,0.015503875968992248,random
516,pcc,0.0,random
517,pcc,0.0,random
518,pcc,0.0,random
519,pcc,0.007692307692307693,random
520,pcc,0.0,random
521,pcc,0.0,random
522,pcc,0.0,random
523,pcc,0.0,random
524,pcc,0.0,random
525,pcc,0.007692307692307693,random
526,pcc,0.007692307692307693,random
527,pcc,0.0234375,random
528,pcc,0.007692307692307693,random
529,pcc,0.0,random
530,pcc,0.0,random
531,pcc,0.0,random
532,pcc,0.0,random
533,pcc,0.0,random
534,pcc,0.0,random
535,pcc,0.0,random
536,pcc,0.007692307692307693,random
537,pcc,0.015503875968992248,random
538,pcc,0.0,random
539,pcc,0.0,random
540,pcc,0.0,random
541,pcc,0.007692307692307693,random
542,pcc,0.007692307692307693,random
543,pcc,0.0,random
544,pcc,0.0,random
545,pcc,0.0,random
546,pcc,0.0,random
547,pcc,0.0,random
548,pcc,0.0,random
549,pcc,0.015503875968992248,random
550,pcc,0.007692307692307693,random
551,pcc,0.0,random
552,pcc,0.007692307692307693,random
553,pcc,0.007692307692307693,random
554,pcc,0.007692307692307693,random
555,pcc,0.0,random
556,pcc,0.0,random
557,pcc,0.007692307692307693,random
558,pcc,0.0,random
559,pcc,0.007692307692307693,random
560,pcc,0.015503875968992248,random
561,pcc,0.0,random
562,pcc,0.0,random
563,pcc,0.0,random
564,pcc,0.0,random
565,pcc,0.007692307692307693,random
566,pcc,0.0,random
567,pcc,0.015503875968992248,random
568,pcc,0.0,random
569,pcc,0.0,random
570,pcc,0.007692307692307693,random
571,pcc,0.0,random
572,pcc,0.0,random
573,pcc,0.0,random
574,pcc,0.007692307692307693,random
575,pcc,0.0,random
576,pcc,0.0,random
577,pcc,0.0,random
578,pcc,0.0,random
579,pcc,0.0,random
580,pcc,0.0,random
581,pcc,0.0,random
582,pcc,0.0,random
583,pcc,0.0,random
584,pcc,0.0,random
585,pcc,0.0,random
586,pcc,0.0,random
587,pcc,0.007692307692307693,random
588,pcc,0.0,random
589,pcc,0.0,random
590,pcc,0.0,random
591,pcc,0.0,random
592,pcc,0.0,random
593,pcc,0.0,random
594,pcc,0.0,random
595,pcc,0.007692307692307693,random
596,pcc,0.0,random
597,pcc,0.007692307692307693,random
598,pcc,0.0,random
599,pcc,0.0,random
600,pcc,0.0,random
601,pcc,0.0,random
602,pcc,0.0,random
603,pcc,0.0,random
604,pcc,0.0,random
605,pcc,0.007692307692307693,random
606,pcc,0.007692307692307693,random
607,pcc,0.0,random
608,pcc,0.0,random
609,pcc,0.0,random
610,pcc,0.0,random
611,pcc,0.0,random
612,pcc,0.0,random
613,pcc,0.0,random
614,pcc,0.007692307692307693,random
615,pcc,0.0,random
616,pcc,0.0,random
617,pcc,0.007692307692307693,random
618,pcc,0.007692307692307693,random
619,pcc,0.0,random
620,pcc,0.0,random
621,pcc,0.007692307692307693,random
622,pcc,0.015503875968992248,random
623,pcc,0.0,random
624,pcc,0.0,random
625,pcc,0.0,random
626,pcc,0.007692307692307693,random
627,pcc,0.0,random
628,pcc,0.0,random
629,pcc,0.0,random
630,pcc,0.0,random
631,pcc,0.007692307692307693,random
632,pcc,0.007692307692307693,random
633,pcc,0.007692307692307693,random
634,pcc,0.0,random
635,pcc,0.0,random
636,pcc,0.0,random
637,pcc,0.0,random
638,pcc,0.0,random
639,pcc,0.0,random
640,pcc,0.0,random
641,pcc,0.007692307692307693,random
642,pcc,0.0,random
643,pcc,0.007692307692307693,random
644,pcc,0.007692307692307693,random
645,pcc,0.007692307692307693,random
646,pcc,0.0,random
647,pcc,0.007692307692307693,random
648,pcc,0.0,random
649,pcc,0.0,random
650,pcc,0.0,random
651,pcc,0.0,random
652,pcc,0.0,random
653,pcc,0.0,random
654,pcc,0.007692307692307693,random
655,pcc,0.0,random
656,pcc,0.007692307692307693,random
657,pcc,0.0,random
658,pcc,0.0,random
659,pcc,0.007692307692307693,random
660,pcc,0.0,random
661,pcc,0.007692307692307693,random
662,pcc,0.0,random
663,pcc,0.007692307692307693,random
664,pcc,0.0,random
665,pcc,0.0,random
666,pcc,0.0,random
667,pcc,0.0,random
668,pcc,0.0,random
669,pcc,0.0,random
670,pcc,0.0,random
671,pcc,0.007692307692307693,random
672,pcc,0.007692307692307693,random
673,pcc,0.007692307692307693,random
674,pcc,0.007692307692307693,random
675,pcc,0.0,random
676,pcc,0.0,random
677,pcc,0.0,random
678,pcc,0.0,random
679,pcc,0.0,random
680,pcc,0.0,random
681,pcc,0.007692307692307693,random
682,pcc,0.007692307692307693,random
683,pcc,0.0,random
684,pcc,0.0,random
685,pcc,0.0,random
686,pcc,0.0,random
687,pcc,0.007692307692307693,random
688,pcc,0.015503875968992248,random
689,pcc,0.0,random
690,pcc,0.0,random
691,pcc,0.0,random
692,pcc,0.0,random
693,pcc,0.0,random
694,pcc,0.0,random
695,pcc,0.0,random
696,pcc,0.0,random
697,pcc,0.0,random
698,pcc,0.0,random
699,pcc,0.0,random
700,pcc,0.0,random
701,pcc,0.0,random
702,pcc,0.0,random
703,pcc,0.007692307692307693,random
704,pcc,0.0,random
705,pcc,0.0,random
706,pcc,0.0,random
707,pcc,0.0,random
708,pcc,0.0,random
709,pcc,0.0,random
710,pcc,0.0,random
711,pcc,0.0,random
712,pcc,0.0,random
713,pcc,0.0,random
714,pcc,0.0,random
715,pcc,0.0,random
716,pcc,0.0,random
717,pcc,0.0,random
718,pcc,0.0,random
719,pcc,0.0,random
720,pcc,0.007692307692307693,random
721,pcc,0.0,random
722,pcc,0.007692307692307693,random
723,pcc,0.0,random
724,pcc,0.0,random
725,pcc,0.007692307692307693,random
726,pcc,0.007692307692307693,random
727,pcc,0.007692307692307693,random
728,pcc,0.007692307692307693,random
729,pcc,0.0,random
730,pcc,0.007692307692307693,random
731,pcc,0.0,random
732,pcc,0.007692307692307693,random
733,pcc,0.0,random
734,pcc,0.0,random
735,pcc,0.007692307692307693,random
736,pcc,0.007692307692307693,random
737,pcc,0.007692307692307693,random
738,pcc,0.0,random
739,pcc,0.0,random
740,pcc,0.0,random
741,pcc,0.0,random
742,pcc,0.0,random
743,pcc,0.0,random
744,pcc,0.0,random
745,pcc,0.015503875968992248,random
746,pcc,0.0,random
747,pcc,0.007692307692307693,random
748,pcc,0.0,random
749,pcc,0.0,random
750,pcc,0.0,random
751,pcc,0.0,random
752,pcc,0.0,random
753,pcc,0.0,random
754,pcc,0.007692307692307693,random
755,pcc,0.0,random
756,pcc,0.007692307692307693,random
757,pcc,0.0,random
758,pcc,0.0,random
759,pcc,0.0,random
760,pcc,0.007692307692307693,random
761,pcc,0.007692307692307693,random
762,pcc,0.0,random
763,pcc,0.007692307692307693,random
764,pcc,0.0,random
765,pcc,0.007692307692307693,random
766,pcc,0.0,random
767,pcc,0.0,random
768,pcc,0.0,random
769,pcc,0.0,random
770,pcc,0.0,random
771,pcc,0.0,random
772,pcc,0.0,random
773,pcc,0.0,random
774,pcc,0.007692307692307693,random
775,pcc,0.0,random
776,pcc,0.0,random
777,pcc,0.007692307692307693,random
778,pcc,0.007692307692307693,random
779,pcc,0.0,random
780,pcc,0.007692307692307693,random
781,pcc,0.0,random
782,pcc,0.0,random
783,pcc,0.007692307692307693,random
784,pcc,0.007692307692307693,random
785,pcc,0.0,random
786,pcc,0.007692307692307693,random
787,pcc,0.0,random
788,pcc,0.0,random
789,pcc,0.0,random
790,pcc,0.0,random
791,pcc,0.0,random
792,pcc,0.0,random
793,pcc,0.0,random
794,pcc,0.007692307692307693,random
795,pcc,0.0,random
796,pcc,0.0,random
797,pcc,0.015503875968992248,random
798,pcc,0.0,random
799,pcc,0.007692307692307693,random
800,pcc,0.0,random
801,pcc,0.0,random
802,pcc,0.0,random
803,pcc,0.007692307692307693,random
804,pcc,0.0,random
805,pcc,0.0,random
806,pcc,0.007692307692307693,random
807,pcc,0.007692307692307693,random
808,pcc,0.0,random
809,pcc,0.0,random
810,pcc,0.0,random
811,pcc,0.015503875968992248,random
812,pcc,0.0,random
813,pcc,0.007692307692307693,random
814,pcc,0.007692307692307693,random
815,pcc,0.0,random
816,pcc,0.0,random
817,pcc,0.007692307692307693,random
818,pcc,0.0,random
819,pcc,0.015503875968992248,random
820,pcc,0.015503875968992248,random
821,pcc,0.0,random
822,pcc,0.007692307692307693,random
823,pcc,0.007692307692307693,random
824,pcc,0.0,random
825,pcc,0.0,random
826,pcc,0.0,random
827,pcc,0.0,random
828,pcc,0.0,random
829,pcc,0.0,random
830,pcc,0.0,random
831,pcc,0.007692307692307693,random
832,pcc,0.0,random
833,pcc,0.0,random
834,pcc,0.0,random
835,pcc,0.007692307692307693,random
836,pcc,0.0,random
837,pcc,0.0,random
838,pcc,0.0,random
839,pcc,0.0,random
840,pcc,0.0,random
841,pcc,0.0,random
842,pcc,0.0,random
843,pcc,0.0,random
844,pcc,0.007692307692307693,random
845,pcc,0.0,random
846,pcc,0.007692307692307693,random
847,pcc,0.0,random
848,pcc,0.007692307692307693,random
849,pcc,0.0,random
850,pcc,0.0,random
851,pcc,0.0,random
852,pcc,0.0,random
853,pcc,0.0,random
854,pcc,0.007692307692307693,random
855,pcc,0.0,random
856,pcc,0.007692307692307693,random
857,pcc,0.0,random
858,pcc,0.0,random
859,pcc,0.0,random
860,pcc,0.007692307692307693,random
861,pcc,0.0,random
862,pcc,0.007692307692307693,random
863,pcc,0.0,random
864,pcc,0.0,random
865,pcc,0.0,random
866,pcc,0.0,random
867,pcc,0.0,random
868,pcc,0.0,random
869,pcc,0.0234375,random
870,pcc,0.007692307692307693,random
871,pcc,0.0,random
872,pcc,0.007692307692307693,random
873,pcc,0.0,random
874,pcc,0.0,random
875,pcc,0.0,random
876,pcc,0.007692307692307693,random
877,pcc,0.007692307692307693,random
878,pcc,0.0,random
879,pcc,0.0,random
880,pcc,0.0,random
881,pcc,0.0,random
882,pcc,0.0,random
883,pcc,0.0,random
884,pcc,0.0,random
885,pcc,0.0,random
886,pcc,0.0,random
887,pcc,0.0,random
888,pcc,0.0,random
889,pcc,0.0,random
890,pcc,0.0,random
891,pcc,0.007692307692307693,random
892,pcc,0.007692307692307693,random
893,pcc,0.0234375,random
894,pcc,0.0,random
895,pcc,0.007692307692307693,random
896,pcc,0.007692307692307693,random
897,pcc,0.0,random
898,pcc,0.0,random
899,pcc,0.0,random
900,pcc,0.0,random
901,pcc,0.007692307692307693,random
902,pcc,0.015503875968992248,random
903,pcc,0.0,random
904,pcc,0.007692307692307693,random
905,pcc,0.007692307692307693,random
906,pcc,0.0,random
907,pcc,0.0,random
908,pcc,0.0,random
909,pcc,0.0,random
910,pcc,0.0,random
911,pcc,0.007692307692307693,random
912,pcc,0.0,random
913,pcc,0.0,random
914,pcc,0.0,random
915,pcc,0.007692307692307693,random
916,pcc,0.007692307692307693,random
917,pcc,0.007692307692307693,random
918,pcc,0.0,random
919,pcc,0.0,random
920,pcc,0.0,random
921,pcc,0.007692307692307693,random
922,pcc,0.0,random
923,pcc,0.0,random
924,pcc,0.007692307692307693,random
925,pcc,0.0,random
926,pcc,0.0,random
927,pcc,0.0,random
928,pcc,0.0,random
929,pcc,0.0,random
930,pcc,0.0,random
931,pcc,0.015503875968992248,random
932,pcc,0.0,random
933,pcc,0.0,random
934,pcc,0.0,random
935,pcc,0.0,random
936,pcc,0.0,random
937,pcc,0.0234375,random
938,pcc,0.0,random
939,pcc,0.0,random
940,pcc,0.015503875968992248,random
