orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree,gene1,Systematic gene name
tgl1,2,0.04809150410553277,1.0163152484678735,0.0,1.342742027374649e-07,0.20146961626686366,-0.0005503383461929719,15.5,tgl1,YKL140W
tre2-5005,9,0.7233228601042838,0.938052064920194,0.6388888888888888,3.225998763926241e-06,0.2199490662139219,-0.0005426559654897807,15.88888888888889,tre2-5005,YOR256C
yol164w-a,13,2.248388126145,0.5053240136086784,0.07692307692307693,1.8293359577780672e-06,0.21934391534391534,-0.0005524696582781226,8.0,yol164w-a,YOL164W-A
swi4,13,1.8267989570857655,0.8984255219874353,0.10256410256410256,0.0013414933812088113,0.2297698754046025,-0.0005590719700057036,14.692307692307692,swi4,YER111C
cla4,41,3.2478793527100516,0.9742296007558118,0.174390243902439,0.0009345919125168405,0.25203054326151453,-0.0005359920673470861,28.341463414634145,cla4,YNL298W
mmr1,3,0.029982992051476833,1.4227164415551532,0.0,8.673530312534797e-05,0.2072385522895421,-0.0005503366144774818,20.333333333333332,mmr1,YLR190W
rho3-ser228,30,4.145918444202594,1.2857545201151586,0.22988505747126436,0.0018685714481164013,0.24343496030441114,-0.0005425472746610698,20.2,rho3-ser228,YIL118W
pmp2,11,2.0311787122190252,0.7919652570949126,0.21818181818181817,6.554769440578602e-06,0.20982305543183383,-0.0005759471642670818,7.090909090909091,pmp2,YEL017C-A
zds1,5,0.2734931680357796,0.5685988658132803,0.2,7.725496304468766e-06,0.21376124082171438,-0.0005671409180426747,12.8,zds1,YMR273C
cdc42-1,9,1.3713968613197443,1.4381709176578157,0.19444444444444445,0.00038343897359639746,0.21954836249629284,-0.0005461210686350199,22.11111111111111,cdc42-1,YLR229C
bem4,1,0.02085471911798031,2.267443130019022,0.0,6.429577864087647e-06,0.18003057254030017,-0.0005834983769536057,9.0,bem4,YPL161C
hel2,3,0.2987857182931518,1.2524981158697976,0.3333333333333333,5.623848089976294e-06,0.21135492291377764,-0.0005738739456450551,19.0,hel2,YDR266C
ber1,2,0.13907326623381067,1.6016593679629878,1.0,5.459953872773995e-06,0.20821279331404693,-0.0005763565181074577,24.5,ber1,YLR412W
bop2,9,0.43367344155538484,2.9196152389011987,0.6111111111111112,0.010249516163342064,0.21410568937734992,-0.0005314527496887213,52.0,bop2,YLR267W
bet1-1,43,3.5262882885331335,2.7233144437504504,0.5736434108527132,0.05461458900231016,0.24271662763466043,-0.0005269406327633619,63.651162790697676,bet1-1,YIL004C
bos1-1,38,3.0467248832349023,3.0641254117040306,0.6799431009957326,0.052166655966083435,0.23384476534296028,-0.0005229703849281228,64.78947368421052,bos1-1,YLR078C
cog3-1,51,5.433925540778372,3.4156149825722486,0.7529411764705882,0.07747164183105373,0.2297087636863336,-0.0005221886685726055,67.92156862745098,cog3-1,YER157W
cog4-5005,39,3.23495294005828,3.1351755065157403,0.6977058029689609,0.05701663302866856,0.23865886795928706,-0.0005255197819175415,67.12820512820512,cog4-5005,YPR105C
get1-supp1,59,6.456118055922803,2.761924497760762,0.48158971361776737,0.07358242032032047,0.24677365588837563,-0.0005161363499212771,58.6271186440678,get1-supp1,YGL020C
mrpl13,41,3.6848590662948393,3.4873592484600557,0.8719512195121951,0.0684922542789786,0.23018834399431415,-0.000523013071222907,74.53658536585365,mrpl13,YKR006C
msl5-9,33,2.4368752578635346,2.4003756385009782,0.6571969696969697,0.007909847452388926,0.23509663369930134,-0.0005455143388067709,54.03030303030303,msl5-9,YLR116W
sec22,31,2.0861173835123177,3.171363825858831,0.7763440860215054,0.044131675705897565,0.23128765900468645,-0.0005228505267542024,63.774193548387096,sec22,YLR268W
sec22-3,23,1.2156450891951194,3.222095710865389,0.766798418972332,0.030831003874127776,0.2284832451499118,-0.0005226538414222617,61.73913043478261,sec22-3,YLR268W
sfb2,26,0.6393379104713199,0.8139919300136867,0.4246153846153846,0.01272307833676523,0.2567507308130605,-0.0005368308832868635,60.42307692307692,sfb2,YNL049C
vti1-11,49,4.921588604164814,3.3054739129346857,0.7329931972789115,0.07233627509857918,0.23422527571867655,-0.0005239850036486866,66.28571428571429,vti1-11,YMR197C
bet2-1,29,1.742620812320431,2.729788092351244,0.6403940886699507,0.037728653030964655,0.2337287447566641,-0.000528317008774131,62.58620689655172,bet2-1,YPR176C
bet4-5002,32,1.793027257273796,1.8505749806681278,0.3709677419354839,0.02328999535817915,0.24457239947139892,-0.0005344293224365164,59.28125,bet4-5002,YJL031C
bts1,31,2.124989592507652,3.020193892106228,0.5806451612903226,0.041166117113703125,0.23525673037635628,-0.0005262054271220979,64.7741935483871,bts1,YPL069C
ctk1-supp1,11,0.28123359942927173,1.5406648362995048,0.2909090909090909,0.007522379446015962,0.22368023481676522,-0.0005412356256272033,37.81818181818182,ctk1-supp1,YKL139W
sec12-4,19,1.0755769084930908,1.8624536353022978,0.39766081871345027,0.0050649919441799925,0.23195022604180654,-0.000547498164023031,45.73684210526316,sec12-4,YNR026C
bet2-1-supp1,11,0.39654822703015197,2.6201851652272556,0.5818181818181818,0.011828229707765554,0.22208888698409976,-0.0005290905827330947,50.90909090909091,bet2-1-supp1,YPR176C
gyp8,3,0.09504324579127707,0.7236210025962184,0.0,0.00021659906554383934,0.20658587147185456,-0.0005352482628736915,16.333333333333332,gyp8,YFL027C
trs33,8,0.188027574831616,1.6102608077499645,0.39285714285714285,0.002493210723932441,0.22418343067272334,-0.0005396344282774193,27.625,trs33,YOR115C
get2,43,4.016028057603444,3.4217059871689535,0.7408637873754153,0.0642813760115303,0.23250179468772433,-0.0005228601420158155,67.83720930232558,get2,YER083C
ncb2-5009,6,1.1695648088746013,1.0264538348966854,0.06666666666666667,0.0013746708009820861,0.23549193365144286,-0.0005651974781032858,41.666666666666664,ncb2-5009,YDR397C
sme1-5001,51,5.479481441054222,2.605383236221854,0.6109803921568627,0.004669812673809514,0.23936440482239366,-0.0005473503855538207,45.90196078431372,sme1-5001,YOR159C
frq1-1,19,0.9180952897972929,1.864646327157019,0.3391812865497076,0.00805441840079523,0.23310841205578048,-0.0005372439861130462,33.73684210526316,frq1-1,YDR373W
nab2-5007,40,3.775758969124526,2.076534489421277,0.5743589743589743,0.003941677145886424,0.24304676140893955,-0.0005525751988543253,49.15,nab2-5007,YGL122C
cwc21,19,0.7442248073752356,1.71511758730489,0.6140350877192983,0.001846262243733301,0.24640989063242985,-0.0005513125257051345,51.421052631578945,cwc21,YDR482C
ecm2,8,0.17563686489301103,2.3832946509788653,0.7857142857142857,0.0014079578554263659,0.22464993280443923,-0.0005504550237907101,53.5,ecm2,YBR065C
